timestamp,mid_price,bid_price,ask_price,inventory,realized_pnl,total_pnl
2025-12-19T12:55:54.923184,983.5,983.44,983.55,0,0.0,0.0
2025-12-19T12:55:55.975160,983.55,983.47,983.62,0,0.0,0.0
2025-12-19T12:55:57.025002,983.55,983.47,983.62,0,0.0,0.0
2025-12-19T12:55:58.072815,983.7,983.61,983.78,1,0.0,0.09
2025-12-19T12:55:59.131120,983.55,983.46,983.59,1,0.0,-0.06
2025-12-19T12:56:00.180037,983.7,983.6,983.75,1,0.0,0.09
2025-12-19T12:56:01.235230,983.65,983.55,983.7,1,0.0,0.04
2025-12-19T12:56:02.316026,983.65,983.55,983.7,1,0.0,0.04
2025-12-19T12:56:03.362864,983.65,983.55,983.7,1,0.0,0.04
2025-12-19T12:56:04.411764,983.65,983.55,983.7,1,0.0,0.04
2025-12-19T12:56:05.461604,983.6,983.51,983.64,1,0.0,-0.01
2025-12-19T12:56:06.520041,983.65,983.55,983.7,1,0.0,0.04
2025-12-19T12:56:07.576133,983.65,983.55,983.7,1,0.0,0.04
2025-12-19T12:56:08.627725,983.65,983.55,983.7,1,0.0,0.04
2025-12-19T12:56:09.677707,983.65,983.56,983.69,0,0.08,0.08
2025-12-19T12:56:10.731085,983.65,983.58,983.71,0,0.08,0.08
2025-12-19T12:56:11.781437,983.75,983.68,983.81,0,0.08,0.08
2025-12-19T12:56:12.831795,983.85,983.75,983.94,0,0.08,0.08
2025-12-19T12:56:13.880429,983.85,983.75,983.94,0,0.08,0.08
2025-12-19T12:56:14.960013,983.75,983.68,983.81,0,0.08,0.08
2025-12-19T12:56:16.054438,983.75,983.68,983.81,0,0.08,0.08
2025-12-19T12:56:17.103299,983.75,983.68,983.81,0,0.08,0.08
2025-12-19T12:56:18.175278,983.75,983.68,983.81,0,0.08,0.08
2025-12-19T12:56:19.477369,983.75,983.68,983.81,0,0.08,0.08
2025-12-19T12:56:20.530323,983.75,983.68,983.81,0,0.08,0.08
2025-12-19T12:56:21.578797,983.85,983.78,983.91,0,0.08,0.08
2025-12-19T12:56:22.628285,983.85,983.77,983.92,0,0.08,0.08
2025-12-19T12:56:23.711932,983.85,983.77,983.92,0,0.08,0.08
2025-12-19T12:56:24.762368,983.8,983.72,983.87,0,0.08,0.08
2025-12-19T12:56:25.811907,983.8,983.72,983.87,0,0.08,0.08
2025-12-19T12:56:26.861229,983.85,983.77,983.92,0,0.08,0.08
2025-12-19T12:56:27.912813,983.85,983.77,983.92,0,0.08,0.08
2025-12-19T12:56:28.962951,983.85,983.75,983.94,0,0.08,0.08
2025-12-19T12:56:30.012428,983.85,983.75,983.94,0,0.08,0.08
2025-12-19T12:56:31.070969,983.7,983.66,983.73,1,0.08,0.12
2025-12-19T12:56:32.125844,983.85,983.73,983.92,1,0.08,0.27
2025-12-19T12:56:33.179729,983.85,983.73,983.92,1,0.08,0.27
2025-12-19T12:56:34.230059,983.85,983.75,983.9,1,0.08,0.27
2025-12-19T12:56:40.816104,983.85,983.76,983.89,1,0.08,0.27
2025-12-19T12:56:41.996049,983.85,983.77,983.88,1,0.08,0.27
2025-12-19T12:56:43.047519,983.85,983.77,983.88,1,0.08,0.27
2025-12-19T12:56:50.993415,984.0,983.89,984.06,1,0.08,0.42
2025-12-19T12:56:54.537183,983.8,983.73,983.82,1,0.08,0.22
2025-12-19T12:57:20.543135,984.2,984.14,984.21,2,0.08,0.68
2025-12-19T12:57:21.651020,984.2,984.12,984.19,2,0.08,0.68
2025-12-19T12:57:22.753735,984.2,984.12,984.19,1,0.37,0.67
2025-12-19T12:57:23.846392,984.2,984.14,984.21,1,0.37,0.67
2025-12-19T12:57:25.258985,984.25,984.17,984.28,1,0.37,0.72
2025-12-19T12:57:26.312783,984.35,984.24,984.41,1,0.37,0.82
2025-12-19T12:57:27.372018,984.35,984.23,984.42,1,0.37,0.82
2025-12-19T12:57:28.425956,984.35,984.24,984.41,1,0.37,0.82
2025-12-19T12:57:29.478491,984.35,984.23,984.42,1,0.37,0.82
2025-12-19T12:57:30.533532,984.35,984.23,984.42,1,0.37,0.82
2025-12-19T12:57:31.587584,984.35,984.22,984.43,1,0.37,0.82
2025-12-19T12:57:32.689614,984.35,984.22,984.43,1,0.37,0.82
2025-12-19T12:57:33.747849,984.35,984.2,984.45,1,0.37,0.82
2025-12-19T12:57:34.814555,984.35,984.2,984.45,1,0.37,0.82
2025-12-19T12:57:35.886874,984.35,984.2,984.45,1,0.37,0.82
2025-12-19T12:57:36.953895,984.25,984.11,984.34,1,0.37,0.72
2025-12-19T12:57:38.025545,984.25,984.11,984.35,1,0.37,0.72
2025-12-19T12:57:39.094502,984.25,984.1,984.35,1,0.37,0.72
2025-12-19T12:57:40.150938,984.15,984.05,984.2,1,0.37,0.62
2025-12-19T12:57:41.209652,984.15,984.06,984.19,0,0.66,0.66
2025-12-19T12:57:42.475448,984.25,984.13,984.36,0,0.66,0.66
2025-12-19T12:57:43.531910,984.25,984.13,984.36,0,0.66,0.66
2025-12-19T12:57:44.592892,984.05,984.02,984.07,-1,0.66,0.68
2025-12-19T12:57:45.648452,984.05,984.04,984.09,-1,0.66,0.68
2025-12-19T12:57:46.704214,984.05,984.04,984.09,-1,0.66,0.68
2025-12-19T12:57:47.763525,984.05,984.04,984.09,0,0.69,0.69
2025-12-19T12:57:48.821987,984.05,984.02,984.07,1,0.69,0.72
2025-12-19T12:57:49.878898,984.05,983.99,984.06,0,0.73,0.73
2025-12-19T12:57:50.938362,984.05,984.01,984.08,0,0.73,0.73
2025-12-19T12:57:52.010593,984.05,984.01,984.08,0,0.73,0.73
2025-12-19T12:57:53.064915,984.05,984.01,984.08,1,0.73,0.77
2025-12-19T12:57:54.122741,984.05,983.99,984.06,1,0.73,0.77
2025-12-19T12:57:55.180024,984.05,983.98,984.07,1,0.73,0.77
2025-12-19T12:57:56.237790,984.05,983.98,984.07,1,0.73,0.77
2025-12-19T12:57:57.304633,984.05,983.99,984.06,1,0.73,0.77
2025-12-19T12:57:58.364036,984.35,984.21,984.44,1,0.73,1.07
2025-12-19T12:57:59.421865,984.35,984.21,984.44,1,0.73,1.07
2025-12-19T12:58:00.510581,984.35,984.21,984.44,1,0.73,1.07
2025-12-19T12:58:01.574480,984.35,984.21,984.44,1,0.73,1.07
